"start","end","radiations"
1590476400,1590480000,493.675
1590480000,1590483600,712.95
1590483600,1590487200,897.575
1590487200,1590490800,999.775
1590490800,1590494400,1019.55
1590494400,1590498000,1007.3
1590498000,1590501600,908.6
1590501600,1590505200,745.675
1590505200,1590508800,534.975
1590508800,1590512400,291.55
1590512400,1590516000,142.45
1590516000,1590519600,36.925
1590519600,1590523200,0.524999999999999
1590523200,1590526800,0
1590526800,1590530400,0
1590530400,1590534000,0
1590534000,1590537600,0
1590537600,1590541200,0
1590541200,1590544800,0
1590544800,1590548400,0
1590548400,1590552000,0.7
1590552000,1590555600,28.7
1590555600,1590559200,106.82
1590559200,1590562800,235.34
1590562800,1590566400,398.72
1590566400,1590570000,579.32
1590570000,1590573600,727.58
1590573600,1590577200,801.36
1590577200,1590580800,691.46
1590580800,1590584400,807.1
1590584400,1590588000,725.62
1590588000,1590591600,597.8
1590591600,1590595200,430.78
1590595200,1590598800,225.26
1590598800,1590602400,103.6
1590602400,1590606000,30.24
1590606000,1590609600,0.7
1590609600,1590613200,0
1590613200,1590616800,0
1590616800,1590620400,0
1590620400,1590624000,0
1590624000,1590627600,0
1590627600,1590631200,0
1590631200,1590634800,0
1590634800,1590638400,0.7
1590638400,1590642000,23.8
1590642000,1590645600,102.62
1590645600,1590649200,182.42
1590649200,1590652800,369.32
1590652800,1590656400,503.02
1590656400,1590660000,592.48
1590660000,1590663600,488.74
1590663600,1590667200,629.72
1590667200,1590670800,746.76
1590670800,1590674400,463.82
1590674400,1590678000,502.6
1590678000,1590681600,288.4
1590681600,1590685200,207.2
1590685200,1590688800,103.04
1590688800,1590692400,28.7
1590692400,1590696000,0.7
1590696000,1590699600,0
1590699600,1590703200,0
1590703200,1590706800,0
1590706800,1590710400,0
1590710400,1590714000,0
1590714000,1590717600,0
1590717600,1590721200,0
1590721200,1590724800,0
1590724800,1590728400,3.08
1590728400,1590732000,18.34
1590732000,1590735600,79.66
1590735600,1590739200,144.9
1590739200,1590742800,119.56
1590742800,1590746400,161.42
1590746400,1590750000,252.56
1590750000,1590753600,375.2
1590753600,1590757200,226.8
1590757200,1590760800,538.72
1590760800,1590764400,319.9
1590764400,1590768000,230.44
1590768000,1590771600,156.94
1590771600,1590775200,118.16
1590775200,1590778800,107.8
1590778800,1590782400,115.5
1590782400,1590786000,78.47
1590786000,1590789600,59.08
1590789600,1590793200,11.76
1590793200,1590796800,0
1590796800,1590800400,0
1590800400,1590804000,0
1590804000,1590807600,0
1590807600,1590811200,0.35
1590811200,1590814800,15.68
1590814800,1590818400,54.25
1590818400,1590822000,116.41
1590822000,1590825600,195.3
1590825600,1590829200,299.74
1590829200,1590832800,234.57
1590832800,1590836400,476.35
1590836400,1590840000,474.04
1590840000,1590843600,544.25
1590843600,1590847200,375.55
1590847200,1590850800,642.46
1590850800,1590854400,426.09
1590854400,1590858000,347.34
1590858000,1590861600,252.42
1590861600,1590865200,298.34
1590865200,1590868800,147.42
1590868800,1590872400,87.15
1590872400,1590876000,57.19
1590876000,1590879600,15.5866666666667
1590879600,1590883200,0
1590883200,1590886800,0
1590886800,1590890400,0
1590890400,1590894000,0
1590894000,1590897600,0.21
1590897600,1590901200,9.73
1590901200,1590904800,40.46
1590904800,1590908400,64.47
1590908400,1590912000,126.63
1590912000,1590915600,234.22
1590915600,1590919200,318.99
1590919200,1590922800,306.95
1590922800,1590926400,522.69
1590926400,1590930000,520.45
1590930000,1590933600,480.48
1590933600,1590937200,460.18
1590937200,1590940800,556.5
1590940800,1590944400,418.39
1590944400,1590948000,249.97
1590948000,1590951600,234.64
1590951600,1590955200,160.72
1590955200,1590958800,122.43
1590958800,1590962400,48.02
1590962400,1590966000,16.8
1590966000,1590969600,0
1590969600,1590973200,0
1590973200,1590976800,0
1590976800,1590980400,0
1590980400,1590984000,0.49
1590984000,1590987600,15.96
1590987600,1590991200,53.9
1590991200,1590994800,119
1590994800,1590998400,197.12
1590998400,1591002000,298.9
1591002000,1591005600,406.07
1591005600,1591009200,524.37
1591009200,1591012800,572.74
1591012800,1591016400,678.58
1591016400,1591020000,723.59
1591020000,1591023600,737.14
1591023600,1591027200,637.55
1591027200,1591030800,536.36
1591030800,1591034400,442.62
1591034400,1591038000,351.53
1591038000,1591041600,262.08
1591041600,1591045200,140.72
1591045200,1591048800,71.2
1591048800,1591052400,19.3066666666667
1591052400,1591056000,0
1591056000,1591059600,0
1591059600,1591063200,0
1591063200,1591066800,0
1591066800,1591070400,0.56
1591070400,1591074000,17.76
1591074000,1591077600,75.84
1591077600,1591081200,111.12
1591081200,1591084800,182.4
1591084800,1591088400,288.16
1591088400,1591092000,440.72
1591092000,1591095600,527.44
1591095600,1591099200,676.08
1591099200,1591102800,748.8
1591102800,1591106400,744.56
1591106400,1591110000,630.88
1591110000,1591113600,758.72
1591113600,1591117200,592.64
1591117200,1591120800,438.08
1591120800,1591124400,229.76
1591124400,1591128000,264.88
1591128000,1591131600,114.24
1591131600,1591135200,58.4
1591135200,1591138800,15.1466666666667
1591138800,1591142400,0
1591142400,1591146000,0
1591146000,1591149600,0
1591149600,1591153200,0
1591153200,1591156800,0.56
1591156800,1591160400,17.6
1591160400,1591164000,61.12
1591164000,1591167600,137.28
1591167600,1591171200,230.64
1591171200,1591174800,346.16
1591174800,1591178400,474.24
1591178400,1591182000,599.2
1591182000,1591185600,705.52
1591185600,1591189200,797.52
1591189200,1591192800,828.56
1591192800,1591196400,734.64
1591196400,1591200000,613.6
1591200000,1591203600,580.88
1591203600,1591207200,504.64
1591207200,1591210800,287.92
1591210800,1591214400,138.64
1591214400,1591218000,111.92
1591218000,1591221600,89.2
1591221600,1591225200,15.2
1591225200,1591228800,0.48
1591228800,1591232400,0
1591232400,1591236000,0
1591236000,1591239600,0
1591239600,1591243200,0.56
1591243200,1591246800,18.96
1591246800,1591250400,48.96
1591250400,1591254000,39.92
1591254000,1591257600,69.84
1591257600,1591261200,90.72
1591261200,1591264800,111.92
1591264800,1591268400,94.16
1591268400,1591272000,116.72
1591272000,1591275600,188.4
1591275600,1591279200,164.72
1591279200,1591282800,166.64
1591282800,1591286400,214.56
1591286400,1591290000,132.8
1591290000,1591293600,114.48
1591293600,1591297200,116.48
1591297200,1591300800,167.12
1591300800,1591304400,16.16
1591304400,1591308000,12.72
1591308000,1591311600,4.26666666666667
1591311600,1591315200,0
1591315200,1591318800,0
1591318800,1591322400,0
1591322400,1591326000,0
1591326000,1591329600,0.72
1591329600,1591333200,16.56
1591333200,1591336800,40.48
1591336800,1591340400,58.8
1591340400,1591344000,141.68
1591344000,1591347600,272.4
1591347600,1591351200,435.28
1591351200,1591354800,405.2
1591354800,1591358400,584.32
1591358400,1591362000,698.96
1591362000,1591365600,686.48
1591365600,1591369200,545.84
1591369200,1591372800,599.84
1591372800,1591376400,578.4
1591376400,1591380000,354.48
1591380000,1591383600,221.04
1591383600,1591387200,157.44
1591387200,1591390800,135.28
1591390800,1591394400,62.8
1591394400,1591398000,20.6933333333333
1591398000,1591401600,0
1591401600,1591405200,0
1591405200,1591408800,0
1591408800,1591412400,0
1591412400,1591416000,0.96
1591416000,1591419600,26.88
