timestamp,solar_radiation
1659092400,626.2
1659096000,730.2
1659099600,573.2
1659103200,381.0
1659106800,539.5
1659110400,513.9
1659114000,346.4
1659117600,367.8
1659121200,190.3
1659124800,90.0
1659128400,10.5
1659132000,0.0
1659135600,0.0
1659139200,0.0
1659142800,0.0
1659146400,0.0
1659150000,0.0
1659153600,0.0
1659157200,0.0
1659160800,0.0
1659164400,26.0
1659168000,135.3
1659171600,300.3
1659175200,473.2
1659178800,627.9
1659182400,740.7
1659186000,661.6
1659189600,753.4
1659193200,706.3
1659196800,641.7
1659200400,578.0
1659204000,423.4
1659207600,254.7
1659211200,101.3
1659214800,10.9
1659218400,0.0
1659222000,0.0
1659225600,0.0
1659229200,0.0
1659232800,0.0
1659236400,0.0
1659240000,0.0
1659243600,0.0
1659247200,0.0
1659250800,33.0
1659254400,153.0
1659258000,315.4
1659261600,482.6
1659265200,631.7
1659268800,746.4
1659272400,815.4
1659276000,832.4
1659279600,792.4
1659283200,703.6
1659286800,577.1
1659290400,420.3
1659294000,249.9
1659297600,98.3
1659301200,10.0
1659304800,0.0
1659308400,0.0
1659312000,0.0
1659315600,0.0
1659319200,0.0
1659322800,0.0
1659326400,0.0
1659330000,0.0
1659333600,0.0
1659337200,31.8
1659340800,151.2
1659344400,314.8
1659348000,483.4
1659351600,632.5
1659355200,746.5
1659358800,815.0
1659362400,831.4
1659366000,794.2
1659369600,706.7
1659373200,577.7
1659376800,419.1
1659380400,249.4
1659384000,97.0
1659387600,9.5
1659391200,0.0
1659394800,0.0
1659398400,0.0
1659402000,0.0
1659405600,0.0
1659409200,0.0
1659412800,0.0
1659416400,0.0
1659420000,0.0
1659423600,24.7
1659427200,105.6
1659430800,213.4
1659434400,285.4
1659438000,492.9
1659441600,684.7
1659445200,769.1
1659448800,595.1
1659452400,741.6
1659456000,645.5
1659459600,440.7
1659463200,409.6
1659466800,241.9
1659470400,92.7
1659474000,8.6
1659477600,0.0
1659481200,0.0
1659484800,0.0
1659488400,0.0
1659492000,0.0
1659495600,0.0
1659499200,0.0
1659502800,0.0
1659506400,0.0
1659510000,29.0
1659513600,145.8
1659517200,308.0
1659520800,475.3
1659524400,623.6
1659528000,737.3
1659531600,807.8
1659535200,826.6
1659538800,789.6
1659542400,687.0
1659546000,569.6
1659549600,412.9
1659553200,244.9
1659556800,93.1
1659560400,0.0
1659564000,0.0
1659567600,0.0
1659571200,0.0
1659574800,0.0
1659578400,0.0
1659582000,0.0
1659585600,0.0
1659589200,0.0
1659592800,0.0
1659596400,27.9
1659600000,143.8
1659603600,305.7
1659607200,473.1
1659610800,622.4
1659614400,736.7
1659618000,805.1
1659621600,821.6
1659625200,785.0
1659628800,691.9
1659632400,565.1
1659636000,408.1
1659639600,239.9
1659643200,89.9
1659646800,0.0
1659650400,0.0
1659654000,0.0
1659657600,0.0
1659661200,0.0
1659664800,0.0
1659668400,0.0
1659672000,0.0
1659675600,0.0
1659679200,0.0
1659682800,26.7
1659686400,142.4
1659690000,305.6
1659693600,475.4
1659697200,626.9
1659700800,741.8
1659704400,809.2
1659708000,824.8
1659711600,787.3
1659715200,698.4
1659718800,566.9
1659722400,408.8
1659726000,239.0
1659729600,88.3
1659733200,0.0
1659736800,0.0
1659740400,0.0
1659744000,0.0
1659747600,0.0
1659751200,0.0
1659754800,0.0
1659758400,0.0
1659762000,0.0
1659765600,0.0
1659769200,25.9
1659772800,142.2
1659776400,305.0
1659780000,472.3
1659783600,621.1
1659787200,734.5
1659790800,802.6
1659794400,818.8
1659798000,781.4
1659801600,623.3
1659805200,465.1
1659808800,398.8
1659812400,229.4
1659816000,83.6
1659819600,0.0
1659823200,0.0
1659826800,0.0
1659830400,0.0
1659834000,0.0
1659837600,0.0
1659841200,0.0
1659844800,0.0
1659848400,0.0
1659852000,0.0
1659855600,11.3
1659859200,112.6
1659862800,268.4
1659866400,444.4
1659870000,595.5
1659873600,718.6
1659877200,783.5
1659880800,773.6
1659884400,762.3
1659888000,641.0
1659891600,538.8
1659895200,380.9
1659898800,220.0
1659902400,79.5
1659906000,0.0
1659909600,0.0
1659913200,0.0
1659916800,0.0
1659920400,0.0
1659924000,0.0
1659927600,0.0
1659931200,0.0
1659934800,0.0
1659938400,0.0
1659942000,23.1
1659945600,132.8
1659949200,274.9
1659952800,365.6
1659956400,507.2
1659960000,569.7
1659963600,710.4
1659967200,755.2
1659970800,632.7
1659974400,484.3
1659978000,376.0
1659981600,355.1
1659985200,221.9
1659988800,69.4
1659992400,0.0
1659996000,0.0
1659999600,0.0
1660003200,0.0
1660006800,0.0
1660010400,0.0
1660014000,0.0
1660017600,0.0
1660021200,0.0
1660024800,0.0
1660028400,8.7
1660032000,81.7
1660035600,206.0
1660039200,212.7
1660042800,425.5
1660046400,425.7
1660050000,664.3
1660053600,738.6
1660057200,729.4
1660060800,599.2
1660064400,513.8
1660068000,380.5
1660071600,220.7
1660075200,76.5
1660078800,0.0
1660082400,0.0
1660086000,0.0
1660089600,0.0
1660093200,0.0
1660096800,0.0
1660100400,0.0
1660104000,0.0
1660107600,0.0
1660111200,0.0
1660114800,21.0
1660118400,122.0
1660122000,277.9
1660125600,461.8
1660129200,612.4
1660132800,727.8
1660136400,796.0
1660140000,811.1
1660143600,769.5
1660147200,685.0
1660150800,552.5
1660154400,373.3
1660158000,217.7
1660161600,72.6
1660165200,0.0
1660168800,0.0
1660172400,0.0
1660176000,0.0
1660179600,0.0
1660183200,0.0
1660186800,0.0
1660190400,0.0
1660194000,0.0
1660197600,0.0
1660201200,19.9
1660204800,127.7
1660208400,291.0
1660212000,454.4
1660215600,534.4
1660219200,645.8
1660222800,707.5
1660226400,781.1
1660230000,768.3
1660233600,686.3
1660237200,557.3
1660240800,396.6
1660244400,225.5
1660248000,75.7
1660251600,0.0
1660255200,0.0
1660258800,0.0
1660262400,0.0
1660266000,0.0
1660269600,0.0
1660273200,0.0
1660276800,0.0
1660280400,0.0
1660284000,0.0
1660287600,10.1
1660291200,61.2
1660294800,98.1
1660298400,93.1
1660302000,124.8
1660305600,168.4
1660309200,617.3
1660312800,704.6
1660316400,722.3
1660320000,623.8
1660323600,506.6
1660327200,291.8
1660330800,168.1
1660334400,49.6
1660338000,0.0
1660341600,0.0
1660345200,0.0
1660348800,0.0
1660352400,0.0
1660356000,0.0
1660359600,0.0
1660363200,0.0
1660366800,0.0
1660370400,0.0
1660374000,16.8
1660377600,104.4
1660381200,239.9
1660384800,426.1
1660388400,599.6
1660392000,710.1
1660395600,724.9
1660399200,665.4
1660402800,642.5
1660406400,622.0
1660410000,525.5
1660413600,378.6
1660417200,215.4
1660420800,69.1
1660424400,0.0
1660428000,0.0
1660431600,0.0
1660435200,0.0
1660438800,0.0
1660442400,0.0
1660446000,0.0
1660449600,0.0
1660453200,0.0
1660456800,0.0
1660460400,17.1
1660464000,122.8
1660467600,285.2
1660471200,455.1
1660474800,606.3
1660478400,722.0
1660482000,791.2
1660485600,806.1
1660489200,766.5
1660492800,672.1
1660496400,533.4
1660500000,374.2
1660503600,204.0
1660507200,63.8
1660510800,0.0
1660514400,0.0
1660518000,0.0
1660521600,0.0
1660525200,0.0
1660528800,0.0
1660532400,0.0
1660536000,0.0
1660539600,0.0
1660543200,0.0
1660546800,2.9
1660550400,36.3
1660554000,175.8
1660557600,359.0
1660561200,558.7
1660564800,713.6
1660568400,763.0
1660572000,554.2
1660575600,471.4
1660579200,339.5
1660582800,391.3
1660586400,338.8
1660590000,196.2
1660593600,59.7
1660597200,0.0
1660600800,0.0
1660604400,0.0
1660608000,0.0
1660611600,0.0
1660615200,0.0
1660618800,0.0
1660622400,0.0
1660626000,0.0
1660629600,0.0
1660633200,14.0
1660636800,105.0
1660640400,270.1
1660644000,437.8
1660647600,587.0
1660651200,701.2
1660654800,749.4
1660658400,711.3
1660662000,656.7
1660665600,522.0
1660669200,481.8
1660672800,356.9
1660676400,195.2
1660680000,58.5
1660683600,0.0
1660687200,0.0
1660690800,0.0
1660694400,0.0
1660698000,0.0
1660701600,0.0
1660705200,0.0
1660708800,0.0
1660712400,0.0
1660716000,0.0
1660719600,13.9
1660723200,115.2
1660726800,275.1
1660730400,441.4
1660734000,589.1
1660737600,703.0
1660741200,768.4
1660744800,781.7
1660748400,729.8
1660752000,594.0
1660755600,447.8
1660759200,327.6
1660762800,186.8
1660766400,55.7
1660770000,0.0
1660773600,0.0
1660777200,0.0
1660780800,0.0
1660784400,0.0
1660788000,0.0
1660791600,0.0
1660795200,0.0
1660798800,0.0
1660802400,0.0
1660806000,8.1
1660809600,73.1
1660813200,216.9
1660816800,114.8
1660820400,308.7
1660824000,407.5
1660827600,375.9
1660831200,279.1
1660834800,477.4
1660838400,582.2
1660842000,486.6
1660845600,271.9
1660849200,93.4
1660852800,23.3
1660856400,0.0
1660860000,0.0
1660863600,0.0
1660867200,0.0
1660870800,0.0
1660874400,0.0
1660878000,0.0
1660881600,0.0
1660885200,0.0
1660888800,0.0
1660892400,2.6
1660896000,41.0
1660899600,111.0
1660903200,94.2
1660906800,107.9
1660910400,120.2
1660914000,255.1
1660917600,406.1
1660921200,497.3
1660924800,412.9
1660928400,283.7
1660932000,207.6
1660935600,93.7
1660939200,37.3
1660942800,0.0
1660946400,0.0
1660950000,0.0
1660953600,0.0
1660957200,0.0
1660960800,0.0
1660964400,0.0
1660968000,0.0
1660971600,0.0
1660975200,0.0
1660978800,8.9
1660982400,90.9
1660986000,257.8
1660989600,430.3
1660993200,579.2
1660996800,692.6
1661000400,759.5
1661004000,773.3
1661007600,712.1
1661011200,636.2
1661014800,510.3
1661018400,349.6
1661022000,183.0
1661025600,48.8
1661029200,0.0
1661032800,0.0
1661036400,0.0
1661040000,0.0
1661043600,0.0
1661047200,0.0
1661050800,0.0
1661054400,0.0
1661058000,0.0
1661061600,0.0
1661065200,9.8
1661068800,102.1
1661072400,259.4
1661076000,426.9
1661079600,575.1
1661083200,676.2
1661086800,724.6
1661090400,542.5
1661094000,424.2
1661097600,406.0
1661101200,411.8
1661104800,327.1
1661108400,176.1
1661112000,38.8
1661115600,0.0
1661119200,0.0
1661122800,0.0
1661126400,0.0
1661130000,0.0
1661133600,0.0
1661137200,0.0
1661140800,0.0
1661144400,0.0
1661148000,0.0
1661151600,9.6
1661155200,99.1
1661158800,248.3
1661162400,420.7
1661166000,540.8
1661169600,676.9
1661173200,685.3
1661176800,607.4
1661180400,640.3
1661184000,604.9
1661187600,507.9
1661191200,346.8
1661194800,178.0
1661198400,44.4
1661202000,0.0
1661205600,0.0
1661209200,0.0
1661212800,0.0
1661216400,0.0
1661220000,0.0
1661223600,0.0
1661227200,0.0
1661230800,0.0
1661234400,0.0
1661238000,8.4
1661241600,100.2
1661245200,257.8
1661248800,427.2
1661252400,578.9
1661256000,688.4
1661259600,738.8
1661263200,722.7
1661266800,674.9
1661270400,616.0
1661274000,500.6
1661277600,338.1
1661281200,174.4
1661284800,42.1
1661288400,0.0
1661292000,0.0
1661295600,0.0
1661299200,0.0
1661302800,0.0
1661306400,0.0
1661310000,0.0
1661313600,0.0
1661317200,0.0
1661320800,0.0
1661324400,0.0
1661328000,95.9
1661331600,248.9
1661335200,414.5
1661338800,555.2
1661342400,611.3
1661346000,686.6
1661349600,714.9
1661353200,705.5
1661356800,628.9
1661360400,494.9
1661364000,334.2
1661367600,168.7
1661371200,39.2
1661374800,0.0
1661378400,0.0
1661382000,0.0
1661385600,0.0
1661389200,0.0
1661392800,0.0
1661396400,0.0
1661400000,0.0
1661403600,0.0
1661407200,0.0
1661410800,0.0
1661414400,92.5
1661418000,244.6
1661421600,411.3
1661425200,560.0
1661428800,676.7
1661432400,740.9
1661436000,707.0
1661439600,651.1
1661443200,573.3
1661446800,471.7
1661450400,327.4
1661454000,163.5
1661457600,36.6
1661461200,0.0
1661464800,0.0
1661468400,0.0
1661472000,0.0
1661475600,0.0
1661479200,0.0
1661482800,0.0
1661486400,0.0
1661490000,0.0
1661493600,0.0
1661497200,0.0
1661500800,88.2
1661504400,228.2
1661508000,363.2
1661511600,471.1
1661515200,506.0
1661518800,570.5
1661522400,604.1
1661526000,631.7
1661529600,408.9
1661533200,312.2
1661536800,257.7
1661540400,134.8
1661544000,31.5
1661547600,0.0
1661551200,0.0
1661554800,0.0
1661558400,0.0
1661562000,0.0
1661565600,0.0
1661569200,0.0
1661572800,0.0
1661576400,0.0
1661580000,0.0
1661583600,0.0
1661587200,88.7
1661590800,235.4
1661594400,374.5
1661598000,533.9
1661601600,493.5
1661605200,574.4
1661608800,528.4
1661612400,488.5
1661616000,325.9
1661619600,350.1
1661623200,226.0
1661626800,102.6
1661630400,30.7
1661634000,0.0
1661637600,0.0
1661641200,0.0
1661644800,0.0
1661648400,0.0
1661652000,0.0
1661655600,0.0
1661659200,0.0
1661662800,0.0
1661666400,0.0
1661670000,0.0
1661673600,80.5
1661677200,189.9
1661680800,389.6
1661684400,533.7
1661688000,641.7
1661691600,690.7
1661695200,568.0
1661698800,320.7
1661702400,356.5
1661706000,270.2
1661709600,264.7
1661713200,129.0
1661716800,28.4
1661720400,0.0
1661724000,0.0
1661727600,0.0
1661731200,0.0
1661734800,0.0
1661738400,0.0
1661742000,0.0
1661745600,0.0
1661749200,0.0
1661752800,0.0
1661756400,0.0
1661760000,84.9
1661763600,225.7
1661767200,339.9
1661770800,502.4
1661774400,652.1
1661778000,337.4
1661781600,495.0
1661785200,354.4
1661788800,345.7
1661792400,290.9
1661796000,291.3
1661799600,136.3
1661803200,25.2
1661806800,0.0
1661810400,0.0
1661814000,0.0
1661817600,0.0
1661821200,0.0
1661824800,0.0
1661828400,0.0
1661832000,0.0
1661835600,0.0
1661839200,0.0
1661842800,0.0
1661846400,73.8
1661850000,225.2
1661853600,396.4
1661857200,450.9
1661860800,629.7
1661864400,506.9
1661868000,487.4
1661871600,427.7
1661875200,292.8
1661878800,338.2
1661882400,167.3
1661886000,49.2
1661889600,20.4
1661893200,0.0
1661896800,0.0
1661900400,0.0
1661904000,0.0
1661907600,0.0
1661911200,0.0
1661914800,0.0
1661918400,0.0
1661922000,0.0
1661925600,0.0
1661929200,0.0
1661932800,72.1
1661936400,184.8
1661940000,311.0
1661943600,503.0
1661947200,469.9
1661950800,558.1
1661954400,518.9
1661958000,325.2
1661961600,369.2
1661965200,252.9
1661968800,124.1
1661972400,36.8
1661976000,13.4
1661979600,0.0
1661983200,0.0
