timestamp,z0.6_y0.0_x0.0,z0.6_y0.0_x0.25,z0.6_y0.0_x0.5,z0.6_y0.0_x0.8,z0.4_y0.0_x0.0,z0.4_y0.0_x0.25,z0.4_y0.0_x0.5,z0.4_y0.0_x0.8,z0.2_y0.0_x0.0,z0.2_y0.0_x0.25,z0.2_y0.0_x0.5,z0.2_y0.0_x0.8
1631642400,-553.2032969751,-347.2972827975,-381.7482874716,-632.8241809596,-27.0795331584,-152.7206796156,-592.56114879,-857.4094103151,-21.6164720124,-32.2997559591,-240.8547294111,-759.9966706524001
1631646000,-553.2032969751,-344.34662368709996,-382.4367044511,-630.6029181696,-27.0795331584,-152.7206796156,-594.0347475638998,-857.021916,-21.6164720124,-32.2997559591,-240.1074107775,-759.2109099456
1631649600,-553.5624287271,-341.4410052924,-383.1709499775,-629.1365207151,-27.0795331584,-153.05110246709998,-594.79376124,-855.0410532636,-21.6164720124,-32.2997559591,-239.3600240991,-757.2024635483998
1631653200,-552.0809006076,-337.74981076439997,-383.1709499775,-627.6698338044,-27.0795331584,-153.7591075776,-594.79376124,-853.4473424919,-21.6164720124,-32.2997559591,-238.6125693759,-755.1934547184
1631656800,-550.5990830319,-334.0569151164,-382.80383571989995,-625.4470293744,-26.792089743600002,-154.0894894959,-594.3919400391001,-849.4830249375,-21.6164720124,-32.0124863775,-237.07072911,-751.9603907964
1631660400,-549.4763012544,-330.7780454079,-382.80383571989995,-622.5119100444,-26.792089743600002,-154.7974068924,-594.0347475638998,-847.11197799,-21.6164720124,-32.0124863775,-236.3230659996,-750.7803969471
1631664000,-547.2302393244,-327.0819388959,-382.06955617110003,-619.9316069376,-26.792089743600002,-155.83557756,-592.2038691324,-843.1440657564,-21.6164720124,-32.0124863775,-234.82753564439997,-747.9388762716002
1631667600,-546.5113591644,-324.1700577216,-382.4367044511,-618.41859975,-26.792089743600002,-156.8736195804,-591.4445933775,-839.9508516336,-21.6164720124,-32.2997559591,-233.7057092604,-747.5453464359
1631671200,-544.623975,-321.210876,-382.4367044511,-617.3504096796,-26.792089743600002,-157.91153295360002,-589.9704858624,-836.75618199,-21.6164720124,-32.2997559591,-232.5837297756,-746.3208937071
1631674800,-543.1407013719,-318.6206989056,-382.06955617110003,-616.2375488871,-26.792089743600002,-158.61912740309998,-589.2109841775,-835.1583013479,-21.6164720124,-32.2997559591,-231.46159719,-746.3208937071
1631678400,-541.2974430396,-315.28924640639997,-382.06955617110003,-614.3675687751,-26.792089743600002,-159.9869737584,-588.09393039,-832.7824008924,-21.6164720124,-32.2997559591,-230.33931150360002,-747.1517950703999
1631682000,-539.0489623296,-312.3730951551,-381.3811072956,-612.8979697596,-26.792089743600002,-160.6943927799,-586.6191650198999,-830.4056963919,-21.6164720124,-32.2997559591,-229.59103599,-748.3323845775
1631685600,-537.5646010479,-309.7800750639,-381.7482874716,-611.4280812879,-26.792089743600002,-161.7318324975,-585.5017258224,-829.1954288775,-21.6164720124,-32.2997559591,-228.79591869990003,-749.5564949559
1631689200,-536.4398922204,-307.92740751990004,-381.7482874716,-611.0717010975,-26.792089743600002,-162.439104,-584.7864775536,-828.4172897199,-21.6164720124,-32.2997559591,-228.0475028439,-750.3433130151
1631692800,-535.6749953271,-306.0743146959,-382.06955617110003,-611.7844444671,-27.0795331584,-164.1363116016,-584.7864775536,-827.2066798551,-21.9040876656,-32.5870159719,-228.0475028439,-754.8003219878999
1631696400,-534.5500074096,-305.00859375,-382.06955617110003,-613.6550720679,-27.0795331584,-165.5503881276,-585.1441101936,-828.4172897199,-21.9040876656,-32.5870159719,-228.4217192775,-759.2109099456
1631700000,-534.5500074096,-307.1862214239,-383.1709499775,-617.7064900476,-27.3669670044,-166.9171013775,-586.2616025511,-831.1836154671,-21.9040876656,-32.5870159719,-229.9651822524,-764.0114359836
1631703600,-536.4398922204,-314.2247420271,-384.63923689589996,-622.5119100444,-27.3669670044,-169.36719984389998,-588.09393039,-835.5901968639,-22.19169375,-32.5870159719,-232.9577399484,-768.8523429975
1631707200,-542.0168165244,-327.4516260975,-387.20808407190003,-628.3809908796,-27.7022943975,-174.9243726975,-592.56114879,-845.1283030896001,-21.9040876656,-32.2997559591,-238.6125693759,-776.8696957671001
1631710800,-548.3533533519001,-338.4881857596,-389.77609769910003,-629.8475374479,-27.9897075111,-180.80717151,-595.9098182775,-852.6718921671,-21.9040876656,-32.2997559591,-241.6019799999,-781.70189916
1631714400,-553.2032969751,-343.9777147479,-391.93075148160005,-630.9583648704,-27.9897075111,-186.6858171975,-599.9708630016,-858.1843343559,-21.9040876656,-32.0124863775,-244.2168212079,-786.0959232591
1631718000,-556.1656251879,-345.82208933190003,-393.7640368896,-632.0690261679,-27.9897075111,-190.4929620336,-602.2012693116001,-860.9819541744,-21.9040876656,-32.0124863775,-245.7106419375,-788.4875683775999
1631721600,-557.6912211951001,-346.1909132151,-395.59689701760004,-633.1795213404,-27.9897075111,-195.98909247990002,-605.50105116,-864.1655697276,-21.9040876656,-32.0124863775,-247.2041904879,-790.8784094511
1631725200,-558.7679274975,-346.9285099479,-396.69640896,-632.4688235676,-27.9897075111,-199.7919744156,-607.72980951,-865.7138293884,-21.9040876656,-32.0124863775,-247.2041904879,-792.4863410544
1631728800,-559.1716528896,-343.9777147479,-396.69640896,-630.6029181696,-27.9897075111,-202.1385619056,-608.8439394975,-866.1438403824001,-21.9040876656,-31.6773264384,-247.2041904879,-792.4863410544
1631732400,-559.1716528896,-341.4410052924,-397.4293318656,-627.6698338044,-28.325010716399998,-205.4226680316,-609.95790336,-865.7138293884,-21.9040876656,-31.6773264384,-247.2041904879,-791.3130214431
1631736000,-558.7679274975,-339.22649271,-397.4293318656,-626.2028574375,-28.325010716399998,-207.3925065456,-610.3143367104,-864.1655697276,-21.9040876656,-31.6773264384,-246.45745023509997,-790.0960408839
