"start","end","humidity"
1591131600,1591135200,61.925
1591135200,1591138800,78.5
1591138800,1591142400,89.35
1591142400,1591146000,90.35
1591146000,1591149600,87.25
1591149600,1591153200,87.425
1591153200,1591156800,89.4
1591156800,1591160400,89.9
1591160400,1591164000,84.3
1591164000,1591167600,79.6
1591167600,1591171200,75.075
1591171200,1591174800,73.275
1591174800,1591178400,67.725
1591178400,1591182000,60.475
1591182000,1591185600,57.2
1591185600,1591189200,55.5
1591189200,1591192800,52.65
1591192800,1591196400,50.3
1591196400,1591200000,54.075
1591200000,1591203600,52.275
1591203600,1591207200,48.525
1591207200,1591210800,49.6
1591210800,1591214400,52.5
1591214400,1591218000,51.875
1591218000,1591221600,50.625
1591221600,1591225200,52.75
1591225200,1591228800,55.65
1591228800,1591232400,58.925
1591232400,1591236000,64.725
1591236000,1591239600,60.4
1591239600,1591243200,66.175
1591243200,1591246800,74.675
1591246800,1591250400,78.025
1591250400,1591254000,73.275
1591254000,1591257600,79.675
1591257600,1591261200,87.7
1591261200,1591264800,87.575
1591264800,1591268400,87.95
1591268400,1591272000,90.925
1591272000,1591275600,90.775
1591275600,1591279200,87.825
1591279200,1591282800,87.95
1591282800,1591286400,83.5
1591286400,1591290000,85.475
1591290000,1591293600,82.4
1591293600,1591297200,77.1
1591297200,1591300800,71.825
1591300800,1591304400,75.075
1591304400,1591308000,85.05
1591308000,1591311600,88.7
1591311600,1591315200,96.95
1591315200,1591318800,96.65
1591318800,1591322400,95.75
1591322400,1591326000,95.4
1591326000,1591329600,93.725
1591329600,1591333200,90.75
1591333200,1591336800,91.4
1591336800,1591340400,93.6
1591340400,1591344000,89
1591344000,1591347600,80.575
1591347600,1591351200,79.875
1591351200,1591354800,83.325
1591354800,1591358400,77.775
1591358400,1591362000,64.775
1591362000,1591365600,64.85
1591365600,1591369200,72.45
1591369200,1591372800,69.875
1591372800,1591376400,61.125
1591376400,1591380000,62.1
1591380000,1591383600,71.25
1591383600,1591387200,76.3
1591387200,1591390800,80.025
1591390800,1591394400,80.25
1591394400,1591398000,85.5333333333333
1591398000,1591401600,93.65
1591401600,1591405200,94.35
1591405200,1591408800,94.9
1591408800,1591412400,94.925
1591412400,1591416000,95.25
1591416000,1591419600,96.25
1591419600,1591423200,94.675
1591423200,1591426800,88.65
1591426800,1591430400,83.65
1591430400,1591434000,78.7
1591434000,1591437600,75.6
1591437600,1591441200,67.725
1591441200,1591444800,62.4
1591444800,1591448400,59.875
1591448400,1591452000,61.375
1591452000,1591455600,58
1591455600,1591459200,53.35
1591459200,1591462800,57
1591462800,1591466400,60.45
1591466400,1591470000,58.475
1591470000,1591473600,58.125
1591473600,1591477200,60.45
1591477200,1591480800,61.575
1591480800,1591484400,65.0333333333333
1591484400,1591488000,81
1591488000,1591491600,85.4
1591491600,1591495200,90.35
1591495200,1591498800,81.1
1591498800,1591502400,87.4
1591502400,1591506000,90.05
1591506000,1591509600,85.3
1591509600,1591513200,79.025
1591513200,1591516800,76.075
1591516800,1591520400,74.95
1591520400,1591524000,68.1
1591524000,1591527600,60.3
1591527600,1591531200,55
1591531200,1591534800,53.2
1591534800,1591538400,53.95
1591538400,1591542000,54.025
1591542000,1591545600,55.125
1591545600,1591549200,54.25
1591549200,1591552800,55.55
1591552800,1591556400,58.475
1591556400,1591560000,65.725
1591560000,1591563600,71.625
1591563600,1591567200,73.55
1591567200,1591570800,82.2
1591570800,1591574400,93.75
1591574400,1591578000,93.65
1591578000,1591581600,94.05
1591581600,1591585200,92.9
1591585200,1591588800,94.475
1591588800,1591592400,95.3
1591592400,1591596000,95.575
1591596000,1591599600,91.975
1591599600,1591603200,87.875
1591603200,1591606800,86.225
1591606800,1591610400,88.5
1591610400,1591614000,89.45
1591614000,1591617600,87.7
1591617600,1591621200,84.3
1591621200,1591624800,87.675
1591624800,1591628400,92.225
1591628400,1591632000,91.875
1591632000,1591635600,88.5
1591635600,1591639200,90.45
1591639200,1591642800,93.85
1591642800,1591646400,89.85
1591646400,1591650000,88.1
1591650000,1591653600,90.025
1591653600,1591657200,94.5666666666667
1591657200,1591660800,96.5
1591660800,1591664400,93.5
1591664400,1591668000,89.1
1591668000,1591671600,94.575
1591671600,1591675200,95.875
1591675200,1591678800,95.125
1591678800,1591682400,92.6
1591682400,1591686000,92.45
1591686000,1591689600,91.15
1591689600,1591693200,90.375
1591693200,1591696800,89.775
1591696800,1591700400,84.775
1591700400,1591704000,78.075
1591704000,1591707600,75.85
1591707600,1591711200,82.4
1591711200,1591714800,81.625
1591714800,1591718400,77.85
1591718400,1591722000,74
1591722000,1591725600,79.25
1591725600,1591729200,85.375
1591729200,1591732800,89.4
1591732800,1591736400,87.95
1591736400,1591740000,85.85
1591740000,1591743600,90.9333333333333
1591743600,1591747200,92.2
1591747200,1591750800,93.2
1591750800,1591754400,95.8
1591754400,1591758000,95.6
1591758000,1591761600,94.525
1591761600,1591765200,95.35
1591765200,1591768800,94.9
1591768800,1591772400,87.125
1591772400,1591776000,82.225
1591776000,1591779600,78.8
1591779600,1591783200,79.55
1591783200,1591786800,71.525
1591786800,1591790400,70.975
1591790400,1591794000,71.2
1591794000,1591797600,69.45
1591797600,1591801200,64.275
1591801200,1591804800,65.675
1591804800,1591808400,68
1591808400,1591812000,64.575
1591812000,1591815600,60.95
1591815600,1591819200,60.775
1591819200,1591822800,65.725
1591822800,1591826400,71.4
1591826400,1591830000,78.6
1591830000,1591833600,83.5
1591833600,1591837200,91.95
1591837200,1591840800,95
1591840800,1591844400,92.2
1591844400,1591848000,89.925
1591848000,1591851600,94.65
1591851600,1591855200,95.275
1591855200,1591858800,87.6
1591858800,1591862400,86.4
1591862400,1591866000,85.575
1591866000,1591869600,84.5
1591869600,1591873200,79.175
1591873200,1591876800,72.8
1591876800,1591880400,70.225
1591880400,1591884000,74.225
1591884000,1591887600,81.8
1591887600,1591891200,79.475
1591891200,1591894800,72.475
1591894800,1591898400,76.675
1591898400,1591902000,83.525
1591902000,1591905600,88.925
1591905600,1591909200,86.225
1591909200,1591912800,86.825
1591912800,1591916400,91.3333333333333
1591916400,1591920000,96.9
1591920000,1591923600,97.55
1591923600,1591927200,97.8
1591927200,1591930800,97.3
1591930800,1591934400,97.55
1591934400,1591938000,98.35
1591938000,1591941600,98.15
1591941600,1591945200,92.55
1591945200,1591948800,86.225
1591948800,1591952400,84.725
1591952400,1591956000,82.95
1591956000,1591959600,72.425
1591959600,1591963200,64.075
1591963200,1591966800,61.85
1591966800,1591970400,60.1
1591970400,1591974000,57.675
1591974000,1591977600,58
1591977600,1591981200,57.875
1591981200,1591984800,58.9
1591984800,1591988400,63.325
1591988400,1591992000,72.025
1591992000,1591995600,76.325
1591995600,1591999200,79.25
1591999200,1592002800,82.1333333333333
1592002800,1592006400,92
1592006400,1592010000,94.65
1592010000,1592013600,95.6
1592013600,1592017200,93.525
1592017200,1592020800,93.75
1592020800,1592024400,92.9
1592024400,1592028000,88.35
1592028000,1592031600,84.525
1592031600,1592035200,79.65
1592035200,1592038800,72.7
1592038800,1592042400,67.025
1592042400,1592046000,62.375
1592046000,1592049600,58.95
1592049600,1592053200,53.45
1592053200,1592056800,52.8
1592056800,1592060400,53.425
1592060400,1592064000,55.575
1592064000,1592067600,56.25
1592067600,1592071200,61.45
1592071200,1592074800,68.475
1592074800,1592078400,68.675
1592078400,1592082000,72.1
1592082000,1592085600,76.9
1592085600,1592089200,87.3333333333333
1592089200,1592092800,93.55
1592092800,1592096400,95.75
1592096400,1592100000,95.9
1592100000,1592103600,87.25
1592103600,1592107200,90.55
1592107200,1592110800,94.95
1592110800,1592114400,92.65
