"start","end","wind"
1592208000,1592211600,3.15
1592211600,1592215200,2.16
1592215200,1592218800,4.5
1592218800,1592222400,5.04
1592222400,1592226000,7.56
1592226000,1592229600,5.94
1592229600,1592233200,8.46
1592233200,1592236800,6.21
1592236800,1592240400,4.41
1592240400,1592244000,4.5
1592244000,1592247600,4.68
1592247600,1592251200,3.24
1592251200,1592254800,1.08
1592254800,1592258400,2.52
1592258400,1592262000,0.96
1592262000,1592265600,3.06
1592265600,1592269200,1.08
1592269200,1592272800,0
1592272800,1592276400,0.36
1592276400,1592280000,4.14
1592280000,1592283600,3.33
1592283600,1592287200,3.24
1592287200,1592290800,2.16
1592290800,1592294400,5.76
1592294400,1592298000,6.12
1592298000,1592301600,5.76
1592301600,1592305200,3.87
1592305200,1592308800,7.2
1592308800,1592312400,5.94
1592312400,1592316000,6.3
1592316000,1592319600,3.87
1592319600,1592323200,7.74
1592323200,1592326800,5.22
1592326800,1592330400,5.31
1592330400,1592334000,3.69
1592334000,1592337600,4.23
1592337600,1592341200,3.15
1592341200,1592344800,1.89
1592344800,1592348400,1.8
1592348400,1592352000,0
1592352000,1592355600,1.8
1592355600,1592359200,2.34
1592359200,1592362800,0.27
1592362800,1592366400,0.72
1592366400,1592370000,1.08
1592370000,1592373600,2.34
1592373600,1592377200,2.52
1592377200,1592380800,3.42
1592380800,1592384400,3.51
1592384400,1592388000,5.58
1592388000,1592391600,7.47
1592391600,1592395200,4.05
1592395200,1592398800,7.38
1592398800,1592402400,9.81
1592402400,1592406000,12.78
1592406000,1592409600,4.5
1592409600,1592413200,6.48
1592413200,1592416800,11.52
1592416800,1592420400,11.34
1592420400,1592424000,6.84
1592424000,1592427600,4.41
