"start","end","temperature"
1590850800,1590854400,20.99
1590854400,1590858000,20.5975
1590858000,1590861600,20.485
1590861600,1590865200,19.75
1590865200,1590868800,18.015
1590868800,1590872400,15.8975
1590872400,1590876000,15.6475
1590876000,1590879600,13.91
1590879600,1590883200,11.235
1590883200,1590886800,11.95
1590886800,1590890400,12.2
1590890400,1590894000,11.945
1590894000,1590897600,11.7875
1590897600,1590901200,12.1625
1590901200,1590904800,12.905
1590904800,1590908400,13.5475
1590908400,1590912000,14.3975
1590912000,1590915600,15.655
1590915600,1590919200,16.76
1590919200,1590922800,17.5825
1590922800,1590926400,18.9425
1590926400,1590930000,20.6275
1590930000,1590933600,20.74
1590933600,1590937200,20.805
1590937200,1590940800,21.19
1590940800,1590944400,21.635
1590944400,1590948000,20.7225
1590948000,1590951600,19.6275
1590951600,1590955200,18.3325
1590955200,1590958800,16.95
1590958800,1590962400,15.765
1590962400,1590966000,14.1166666666667
1590966000,1590969600,12.735
1590969600,1590973200,12.94
1590973200,1590976800,12.41
1590976800,1590980400,12.1725
1590980400,1590984000,12.0225
1590984000,1590987600,12.1725
1590987600,1590991200,13.155
1590991200,1590994800,14.79
1590994800,1590998400,15.675
1590998400,1591002000,16.4225
1591002000,1591005600,18.2175
1591005600,1591009200,20.1225
1591009200,1591012800,21.8825
1591012800,1591016400,22.79
1591016400,1591020000,23.595
1591020000,1591023600,23.895
1591023600,1591027200,24.0925
1591027200,1591030800,23.925
1591030800,1591034400,23.895
1591034400,1591038000,23.0525
1591038000,1591041600,20.8375
1591041600,1591045200,18.835
1591045200,1591048800,18.3125
1591048800,1591052400,16
1591052400,1591056000,12.765
1591056000,1591059600,12.23
1591059600,1591063200,12.575
1591063200,1591066800,12.5475
1591066800,1591070400,13.09
1591070400,1591074000,12.5375
1591074000,1591077600,14.0375
1591077600,1591081200,15.5125
1591081200,1591084800,17.24
1591084800,1591088400,18.2075
1591088400,1591092000,20.015
1591092000,1591095600,22.3975
1591095600,1591099200,23.83
