timestamp,z,x,H
1597003200,-20,30,-94.3158610191
1597003200,-20,60,-184.0056698844
1597003200,-20,90,-223.97680071
1597006800,-60,0,-102.1550106396
1597006800,-60,30,-86.5170506439
1597006800,-60,60,-47.4635577564
1597006800,-60,90,-32.8742664159
1597006800,-40,0,-38.3780441103
1597006800,-40,30,-132.23267882715
1597006800,-40,60,-167.83585687155
1597006800,-40,90,-155.8827640791
1597006800,-20,0,-13.1754891324
1597006800,-20,30,-92.1766552176
1597006800,-20,60,-182.5947191664
1597006800,-20,90,-224.91277239
1597010400,-60,0,-97.52359323135
1597010400,-60,30,-85.44652674615
1597010400,-60,60,-47.4635577564
1597010400,-60,90,-32.56307238795
1597010400,-40,0,-36.7512108636
1597010400,-40,30,-131.1679320924
1597010400,-40,60,-165.0319211775
1597010400,-40,90,-155.1749383836
1597010400,-20,0,-13.1754891324
1597010400,-20,30,-88.30087837515
1597010400,-20,60,-181.1835292284
1597010400,-20,90,-226.85451858075
1597014000,-60,0,-93.6028522236
1597014000,-60,30,-85.0896655119
1597014000,-60,60,-46.7944268016
1597014000,-60,90,-31.6294453839
1597014000,-40,0,-36.08124636
1597014000,-40,30,-131.1679320924
1597014000,-40,60,-163.6177569375
1597014000,-40,90,-155.1749383836
1597014000,-20,0,-13.1754891324
1597014000,-20,30,-85.0896655119
1597014000,-20,60,-180.4778445519
1597014000,-20,90,-229.6845741504
1597017600,-60,0,-91.4634670071
1597017600,-60,30,-84.3758832384
1597017600,-60,60,-46.7944268016
1597017600,-60,90,-31.6294453839
1597017600,-40,0,-34.7890248399
